dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
thermo-20y-qc,7,48,41,64.8552028,GAUSSIAN,Evolution,true,0.019184199487979423,0.07173547991184472,4.562048804068166,2.0,4.0,913677.8581174704,0.8584965022812755,1.5,0.003,7.0,3012.301213262669,5176,16.9,14.8,1.258,22831,2100692.625,false,1038746.28125
thermo-20y-qc,7,49,42,66.0621213,GAUSSIAN,Evolution,true,0.054456146329228766,0.03392593952254629,7.479780308021494,3.0,3.0,774656.5693982973,0.97,1.719127374192427,0.005,15.0,1709.57008730028,4330,16.7,17.1,1.179,18213,2098500.75,false,930076.59375
thermo-20y-qc,7,50,42,66.0622997,GAUSSIAN,Evolution,true,0.019968282109655885,0.043410226884080125,5.312220664640287,2.0,6.0,552079.9023808083,0.964852085570598,1.5939752237862557,0.003,7.0,2284.9774554627147,4388,15.1,15.5,0.0,19029,1800971.75,true,686259.25
thermo-20y-qc,7,51,42,66.0623365,GAUSSIAN,Evolution,true,0.019802780830436188,0.07680938434935661,5.878395773653819,2.0,3.0,305775.93461486365,0.8639894237566884,2.0301522456357817,0.003,7.0,2656.613425844398,7185,20.8,17.6,0.0,28393,1190585.0,true,414573.265625
thermo-20y-qc,7,52,43,67.7297914,GAUSSIAN,Evolution,true,0.04196586506293924,0.02044494877680507,3.6558739420793724,1.0,3.0,580585.2413414837,0.84294461548264,2.047770426331711,0.001,5.0,1943.2376852960133,5712,22.7,13.2,1.632,21722,1587896.1875,false,691102.9375
thermo-20y-qc,7,53,44,68.5687973,GAUSSIAN,Evolution,true,0.0352854691331628,0.036593156604568806,9.340881425780097,3.0,8.0,561736.853404998,0.6592324680452285,1.8280941902949732,0.005,15.0,995.4888438133875,3003,23.7,14.2,0.821,11832,1994624.375,false,708138.40625
thermo-20y-qc,7,54,45,69.7922827,GAUSSIAN,Evolution,true,0.027276702385250318,0.07173547991184472,4.562048804068166,2.0,3.0,959179.911614356,0.8584965022812755,1.5047047319737565,0.003,7.0,2984.2740303923792,4995,16.9,14.2,1.191,22045,2192313.5,false,1083259.875
thermo-20y-qc,7,55,46,71.3565015,GAUSSIAN,Evolution,true,0.04842990160386562,0.17199100747961088,3.0,2.0,3.0,849046.8500488099,0.97,1.5,0.003,7.0,3512.2819761859037,4644,15.5,11.6,1.536,20828,2071975.9375,false,980691.375
thermo-20y-qc,7,56,47,72.9331575,GAUSSIAN,Evolution,true,0.03267787029113412,0.17199100747961088,3.6450430484795993,2.0,3.0,656448.0382762541,0.97,1.5,0.003,7.0,3078.968120205112,5759,16.6,16.0,1.541,25157,1667499.0,false,766648.34375
thermo-20y-qc,7,57,47,72.9332778,GAUSSIAN,Evolution,true,0.03735787127941445,0.17199100747961088,3.0,2.0,3.0,849046.8500488099,0.97,1.5,0.003,7.0,3553.6365299802947,4756,15.7,11.4,0.0,21314,2081649.6875,true,982178.28125
