dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10,TPE numerical fallback
thermo-20y-qc,42,24,23,62.409265,SOBOL,Surrogate,true,0.030309463009935596,0.05944016201882494,3.557310601418691,3.0,3.0,560377.4795834577,0.6759628972138478,2.0326523326093424,0.005,15.0,2858.960351731177,6329,19.9,13.9,1.887,25474,1464216.75,false,661464.8125,false
thermo-20y-qc,42,25,24,66.7715239,SOBOL,Surrogate,true,0.03389776677505309,0.05875542810035646,3.099082734971456,3.0,3.0,63232.61584946632,0.8104824358550562,1.949598000939558,0.005,15.0,3488.1753711470606,18744,32.3,21.9,4.18,60084,317392.671875,false,80697.70703125,false
thermo-20y-qc,42,26,25,70.8658209,SOBOL,Surrogate,true,0.03238734061008584,0.07125353963718414,3.1088015654229286,3.0,3.0,83467.32329677971,0.7941272375821417,1.9407768146308175,0.005,15.0,3653.4610164674114,16719,29.3,20.5,3.941,56293,396344.3125,false,107933.26953125,false
thermo-20y-qc,42,27,26,75.3003772,SOBOL,Surrogate,true,0.03207902246365908,0.07828427483467552,3.1120556232087475,3.0,3.0,67851.39719554468,0.8023337648798241,1.9598560589502074,0.005,15.0,3434.176999300735,17760,30.2,21.3,4.266,58633,345250.21875,false,87561.85546875,false
thermo-20y-qc,42,28,27,79.4939995,SOBOL,Surrogate,true,0.03246066303956645,0.07424042525785132,3.2450325764193515,3.0,3.0,66837.87161180777,0.808255399895387,1.9810589646423764,0.005,15.0,3283.318179394672,17129,30.8,21.6,4.028,56267,352103.21875,false,87192.0859375,false
thermo-20y-qc,42,29,28,82.681657,SOBOL,Surrogate,true,0.038381632383919936,0.016534647423310164,3.3632046468796664,3.0,3.0,201897.9915748591,0.7950429547109247,2.0177073543290245,0.005,15.0,3282.0500115174937,11209,28.7,17.5,3.077,39071,709095.5625,false,253389.7421875,false
thermo-20y-qc,42,30,29,85.5907769,SOBOL,Surrogate,true,0.026719551452722822,0.1170196816757982,3.5813941560439364,3.0,3.0,207048.5799570226,0.8300652969935708,1.8697425950812057,0.005,15.0,3338.523398895456,10896,23.0,19.6,2.798,41284,755061.46875,false,264824.5625,false
thermo-20y-qc,42,31,30,89.022832,SOBOL,Surrogate,true,0.028052324988371635,0.033775506558911865,3.7603850723322574,3.0,3.0,116131.6269098929,0.7578817489182215,1.796493412067138,0.005,15.0,3212.5115353866067,15947,31.7,21.9,3.29,52534,459945.875,false,147706.2421875,false
thermo-20y-qc,42,32,31,91.6987049,SOBOL,Surrogate,true,0.03842963911809347,0.0783048466675068,3.0338675550931273,3.0,3.0,353501.04099897493,0.8013145760285998,1.8966565853837125,0.005,15.0,3833.3686257562663,8929,21.6,16.4,2.559,34710,975495.1875,false,421283.390625,false
thermo-20y-qc,42,33,32,93.8373892,SOBOL,Surrogate,true,0.04926067404197667,0.16101751070705514,3.4109038016068474,3.0,3.0,459322.5614630969,0.8241938900773185,1.9030498473849051,0.005,15.0,2945.2183211548745,6916,19.2,15.4,2.043,28055,1253620.3125,false,552210.625,false
thermo-20y-qc,42,34,33,96.8844807,SOBOL,Surrogate,true,0.047262838645290885,0.17468641301861612,3.5962483637309086,3.0,3.0,171336.1938415686,0.8078048106116353,1.8486405700143755,0.005,15.0,3119.8575670452938,11323,23.5,20.1,2.926,42434,673243.0625,false,224101.3359375,false
thermo-20y-qc,42,35,34,99.6818839,SOBOL,Surrogate,true,0.03908781721743937,0.07858875030823573,3.0955021166438486,2.0,3.0,323516.1623993229,0.768273962155509,1.8951705548818438,0.003,7.0,3688.5002419240072,9179,22.3,16.8,2.676,35135,935656.5625,false,392936.765625,false
thermo-20y-qc,42,36,35,102.2728013,SOBOL,Surrogate,true,0.04180469738231758,0.10249866935933008,3.482762817819197,2.0,3.0,340662.9308374626,0.7303721942494791,1.7903958306578969,0.003,7.0,3305.3300471495927,8995,21.0,18.1,2.48,34995,964929.875,false,412241.234375,false
thermo-20y-qc,42,37,36,103.9560892,SOBOL,Surrogate,true,0.022956074037305717,0.07606196871312818,3.017627265446494,2.0,7.0,515170.63400859275,0.947017552199082,1.8333453939538051,0.003,7.0,2734.8947043989915,4179,16.5,10.9,1.6,17845,1754484.375,false,637389.875,false
thermo-20y-qc,42,38,37,105.6448778,SOBOL,Surrogate,true,0.03329822323102094,0.1090153948402609,3.0248490366341,2.0,11.0,323471.44491373556,0.7861713372827597,1.9499276943713664,0.003,7.0,945.0425675675675,2697,23.0,10.8,1.61,10360,1142162.0,false,424030.625,false
thermo-20y-qc,42,39,38,108.256256,SOBOL,Surrogate,true,0.03722666568335053,0.043257480056380866,3.110252649774937,3.0,3.0,383827.2932360986,0.7869408768409967,1.8589343639669182,0.005,15.0,3767.114460668865,8857,22.4,16.2,2.493,33968,1006226.0625,false,450451.59375,false
thermo-20y-qc,42,40,39,110.7948217,SOBOL,Surrogate,true,0.034000859191086565,0.029138697204289698,3.1107394146302245,3.0,3.0,407532.7000298126,0.789151661566381,1.8272415660448698,0.005,15.0,3750.0543695601036,8936,23.4,16.2,2.398,34008,1031079.03125,false,475511.765625,false
thermo-20y-qc,42,41,40,113.2071308,SOBOL,Surrogate,true,0.030499826240930086,0.06020069950963827,3.310036256463208,2.0,7.0,194188.89122774175,0.6666331342123206,1.822469472951656,0.003,7.0,3098.9440441721094,8040,26.1,14.7,2.293,29702,752817.09375,false,246942.2265625,false
thermo-20y-qc,42,42,41,115.6258114,SOBOL,Surrogate,true,0.03493223196758499,0.02969674011154395,3.222619272667439,3.0,3.0,464096.69850342773,0.8106696590896691,1.6252287359256454,0.005,15.0,4096.089320837672,8831,22.9,16.4,2.291,34572,1097539.375,false,538281.6875,false
thermo-20y-qc,42,43,42,118.1616941,SOBOL,Surrogate,true,0.03493223196758499,0.02969674011154395,3.222619272667439,3.0,3.0,464096.69850342773,0.8106696590896691,1.5,0.005,15.0,4430.160248513738,9543,23.6,17.2,2.399,37342,1051311.375,false,534072.6875,false
thermo-20y-qc,42,44,43,120.84578,SOBOL,Surrogate,true,0.03493223196758499,0.02969674011154395,3.0,3.0,3.0,464096.69850342773,0.8106696590896691,1.5,0.005,15.0,4822.864805387634,9618,23.5,16.4,2.545,37716,1044357.5625,false,531982.3125,false
thermo-20y-qc,42,45,44,123.2568962,SOBOL,Surrogate,true,0.035161539542557775,0.01885485580290565,3.0664018506802977,3.0,3.0,501524.800214765,0.8275325540845345,1.5310956314915578,0.005,15.0,4680.84225489633,8827,23.4,15.9,2.278,34822,1140690.75,false,577225.21875,false
thermo-20y-qc,42,46,45,125.5723346,SOBOL,Surrogate,true,0.03580535526136869,0.023231946190682435,3.2504331016196764,3.0,3.0,540123.4918019288,0.8038632132019654,1.5101571510409952,0.005,15.0,4098.171077363726,8522,23.2,16.0,2.186,33517,1194012.75,false,613996.71875,false
thermo-20y-qc,42,47,46,127.923594,SOBOL,Surrogate,true,0.03524984998749167,0.02965097304055893,3.10926380839646,3.0,3.0,540018.2869374352,0.8010352287699263,1.512376617983651,0.005,15.0,4455.80381697487,8481,22.4,15.5,2.219,33744,1195673.375,false,614285.75,false
thermo-20y-qc,42,48,47,130.2367997,SOBOL,Surrogate,true,0.0340883505547239,0.032096548242657334,3.0953856292616755,3.0,3.0,546874.7103123198,0.8076829128511637,1.5041415057221896,0.005,15.0,4609.626078252421,8441,21.7,15.6,2.176,33967,1215795.375,false,622880.375,false
thermo-20y-qc,42,49,48,132.633713,SOBOL,Surrogate,true,0.03670562224926425,0.021179360054844724,3.03115418830489,3.0,3.0,551932.4876050245,0.8301101665409545,1.508995390496882,0.005,15.0,4449.746223748594,8246,22.4,15.0,2.265,32903,1229183.875,false,630893.5625,false
thermo-20y-qc,42,50,49,134.7264576,SOBOL,Surrogate,true,0.036551422063695375,0.01406376855195035,3.0817698599069323,3.0,3.0,716415.8800076537,0.8495621505452725,1.5073865586696367,0.005,15.0,4127.830201193898,6604,21.7,13.3,1.969,27138,1590681.625,false,814494.71875,false
thermo-20y-qc,42,51,50,136.5571769,SOBOL,Surrogate,true,0.03639223475151713,0.010890500369367409,3.108646678592756,3.0,3.0,854200.8817485915,0.8644970024052974,1.5274769663022476,0.005,15.0,3797.0073417076896,5670,20.9,11.7,1.704,23564,1888070.5625,false,973664.75,false
thermo-20y-qc,42,52,51,138.8044354,SOBOL,Surrogate,true,0.044104567978426275,0.14876505094102435,3.2068293939973995,3.0,3.0,433482.62170618225,0.8022010332151602,2.4610017650584313,0.005,15.0,2677.8168839478526,6292,19.4,13.3,2.125,25006,1321672.5625,false,534144.65625,false
thermo-20y-qc,42,53,52,140.6326515,SOBOL,Surrogate,true,0.04069210499555786,0.01111928677216377,3.1579413247358468,3.0,3.0,849182.0103217195,0.8683557559818478,1.5162489422338814,0.005,15.0,3714.500381259002,5669,20.6,12.2,1.706,23606,1879896.5,false,965842.21875,false
thermo-20y-qc,42,54,53,142.7439732,SOBOL,Surrogate,true,0.029232832806432043,0.04477871915416445,3.6997112291408114,3.0,3.0,555254.5865929235,0.7948008242729764,1.5024994117800277,0.005,15.0,3590.941323684607,8135,20.5,17.3,1.974,33165,1255825.5,false,638783.0625,false
thermo-20y-qc,42,55,54,146.1049822,SOBOL,Surrogate,true,0.037252364205261804,0.007189539272930748,3.1040650218947334,3.0,3.0,269751.6600515968,0.8395750854879676,1.512652589752209,0.005,15.0,4336.234524287434,14194,29.8,21.1,3.156,49820,690700.21875,false,320395.53125,false
thermo-20y-qc,42,56,55,149.3653104,SOBOL,Surrogate,true,0.03987042433393154,0.0036007024443009696,3.4911351173106295,3.0,3.0,237588.66137911097,0.8471236557501107,1.5328836090222966,0.005,15.0,3036.7870751440446,15462,34.1,22.6,3.077,49811,672609.1875,false,287584.3125,false
thermo-20y-qc,42,57,56,151.6963609,SOBOL,Surrogate,true,0.04943800389379128,0.027923176523838352,3.3368945765521794,3.0,3.0,466605.67736209155,0.7933241364055434,1.5170121819460032,0.005,15.0,3848.5437398651534,9019,23.7,17.3,2.176,35151,1067053.25,false,537133.15625,false
thermo-20y-qc,42,58,57,154.2954817,SOBOL,Surrogate,true,0.06760318412398315,0.0190616523090306,3.4147908427803735,3.0,3.0,384394.10132906015,0.7939785696855997,1.545575586844863,0.005,15.0,3682.7096392348876,9626,23.2,19.1,2.449,37171,941742.375,false,447642.109375,false
