dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10,Surrogate numerical fallback
thermo-20y-qc,42,60,59,144.8811913,SOBOL,Surrogate,true,0.061557999494506306,2.4571289436078387E-6,5.394287109375,2.0,3.0,2041606.947259453,0.8862066650390625,1.761383056640625,0.003,7.0,401.2751111934767,3563,27.9,6.0,0.9,10792,4696006.5,false,2358379.625,false
thermo-20y-qc,42,61,60,145.9168064,SOBOL,Surrogate,true,0.25664070750817536,2.451729104679162E-5,3.879638671875,4.0,3.0,2227476.6286410918,0.6102423095703124,1.689239501953125,0.008,15.0,280.26689963961996,2989,27.7,4.7,1.012,9157,5140276.5,false,2541585.875,false
thermo-20y-qc,42,62,61,146.6663546,SOBOL,Surrogate,true,0.1425713822205998,1.429525075535537E-4,4.740966796875,3.0,3.0,3067066.7897115825,0.7123663330078125,2.437042236328125,0.005,15.0,187.50132625994695,2200,29.2,3.3,0.73,6786,7414688.5,false,3529247.0,false
thermo-20y-qc,42,63,62,147.4087255,SOBOL,Surrogate,true,0.1385966772692524,2.9144097204636354E-6,4.490478515625,4.0,5.0,2869086.997611281,0.5611883544921875,2.140228271484375,0.008,15.0,161.8656154060843,2369,28.2,3.7,0.725,7166,7044310.5,false,3356799.625,false
thermo-20y-qc,42,64,63,148.1056924,SOBOL,Surrogate,true,0.16502603205884908,0.10475956490917503,13.601806640625,4.0,15.0,38276.892426973085,0.9350311279296875,2.419281005859375,0.008,15.0,176.41540880503143,821,22.2,15.1,0.653,3180,1586389.625,false,227973.546875,false
thermo-20y-qc,42,65,64,148.8549436,SOBOL,Surrogate,true,0.2542332582280867,0.23556739549434733,14.553955078125,1.0,13.0,43357.4469920507,0.9537347412109375,1.802947998046875,0.001,5.0,201.2951876583007,1154,23.1,18.9,0.736,4343,1267179.3125,false,202810.3671875,false
thermo-20y-qc,42,66,65,150.8843846,SOBOL,Surrogate,true,0.05480269779818866,0.16206523945675516,14.032470703125,2.0,4.0,42318.054732678705,0.7006048583984374,1.642547607421875,0.003,7.0,1166.0782982575242,11971,28.7,35.0,1.971,39771,420706.90625,false,87732.171875,false
thermo-20y-qc,42,67,66,151.6192729,SOBOL,Surrogate,true,0.02803943283305903,0.04851053220487427,14.9857177734375,4.0,16.0,62729.07973405472,0.5459127807617188,1.5642242431640625,0.008,15.0,85.29921664312316,3022,48.2,39.0,0.717,7787,254648.078125,false,95183.68359375,false
thermo-20y-qc,42,68,67,152.3186559,SOBOL,Surrogate,true,0.02944375013627143,0.18014146760500635,11.6986083984375,1.0,16.0,37851.822416562616,0.5264059448242188,2.7075347900390625,0.001,5.0,45.79395161290323,762,31.6,13.0,0.689,2480,1146971.0625,false,234903.5078125,false
thermo-20y-qc,42,69,68,156.1662071,SOBOL,Surrogate,true,0.029152363938418132,0.04697428088323019,3.0,4.0,4.0,186898.6316975866,0.8121711519987755,1.5,0.008,15.0,5377.515732029213,16593,24.9,21.2,3.627,61753,541665.125,false,225231.8515625,false
thermo-20y-qc,42,70,69,159.8191978,SOBOL,Surrogate,true,0.033019036730966046,0.04490203008717271,3.0,4.0,4.0,190058.33745874642,0.8092887301237756,1.5,0.008,15.0,5402.390412083401,16351,24.7,21.3,3.501,60910,548574.5,false,229050.1875,false
thermo-20y-qc,42,71,70,163.4128176,SOBOL,Surrogate,true,0.029437873105314098,0.04790359781809422,3.0,4.0,4.0,196270.2943225432,0.8116892184050255,1.5,0.008,15.0,5388.757675620177,16130,24.7,21.1,3.446,60386,561247.0,false,236324.796875,false
thermo-20y-qc,42,72,71,167.0344321,SOBOL,Surrogate,true,0.03364170457400046,0.04553013273770773,3.0,4.0,4.0,190368.83244666923,0.8133232027800255,1.5,0.008,15.0,5419.912823554611,16258,24.7,21.4,3.479,60693,550197.75,false,229375.96875,false
thermo-20y-qc,42,73,72,170.8744902,SOBOL,Surrogate,true,0.028879299886478242,0.04676837577872291,3.0,4.0,4.0,189113.20056959195,0.8146909762175255,1.5,0.008,15.0,5421.81139729241,16467,24.9,21.3,3.686,61383,546628.75,false,227811.25,false
thermo-20y-qc,42,74,73,172.7322187,SOBOL,Surrogate,true,0.04930662278043274,8.563500200360035E-6,14.5008544921875,2.0,3.0,38462.03845852151,0.9626132202148437,1.9240264892578125,0.003,7.0,516.6797297944713,7223,32.7,24.2,1.762,20873,1561357.75,false,219770.2734375,false
thermo-20y-qc,42,75,74,173.5524178,SOBOL,Surrogate,true,0.030622681068710612,0.05467117487829953,3.0,4.0,4.0,3463642.1249999986,0.7968318941862755,1.5,0.008,15.0,1406.8543222376913,1644,12.4,2.6,0.804,7901,7573207.25,false,3893496.875,false
thermo-20y-qc,42,76,75,178.1049946,SOBOL,Surrogate,true,0.027494608887337894,0.06896719590283876,3.0,4.0,3.0,151707.83524595684,0.7905323336394006,1.5,0.008,15.0,5061.64922954455,19136,24.9,22.8,4.374,70348,460663.0,false,185117.8671875,false
thermo-20y-qc,42,77,76,179.4729836,SOBOL,Surrogate,true,0.25950087163841074,2.161901751701711E-6,14.7052001953125,4.0,4.0,68951.41597172203,0.9678054809570312,2.4197845458984375,0.008,15.0,307.63105349426314,4634,31.4,17.2,1.337,13422,2218549.0,false,299371.84375,false
thermo-20y-qc,42,78,77,183.8313488,SOBOL,Surrogate,true,0.03255892882972048,0.06768548131870814,3.0,4.0,3.0,166185.29541020995,0.8051188570769006,1.5,0.008,15.0,5171.342543866301,17751,24.5,22.6,4.181,65939,493187.21875,false,202824.859375,false
thermo-20y-qc,42,79,78,184.4000078,SOBOL,Surrogate,true,0.023397259893547483,4.1416110156512677E-4,3.3043212890625,4.0,14.0,3002220.618700774,0.9081948852539062,2.2364959716796875,0.008,15.0,29.918044572250178,451,30.6,1.1,0.514,1391,1.088763E7,false,3765534.5,false
thermo-20y-qc,42,80,79,185.0279126,SOBOL,Surrogate,true,0.2501617444884309,2.5264642883312525E-6,3.1929931640625,4.0,15.0,2413240.195334139,0.6844400024414062,2.0717010498046875,0.008,15.0,47.66730158730159,505,28.7,1.0,0.617,1575,9212569.0,false,2843113.75,false
thermo-20y-qc,42,81,80,185.8454737,SOBOL,Surrogate,true,0.02707282009475867,7.203803134108185E-6,3.3072509765625,1.0,16.0,950266.2930048291,0.7908096313476562,2.8037567138671875,0.001,5.0,24.566706021251477,593,33.6,3.5,0.805,1694,3913029.5,false,1380448.3125,false
