dataset,distribution,value
thermo-20y-qc,edgeIntensities,14144.458984375
thermo-20y-qc,edgeIntensities,14220.7822265625
thermo-20y-qc,edgeIntensities,14230.046875
thermo-20y-qc,edgeIntensities,14409.751953125
thermo-20y-qc,edgeIntensities,14426.0205078125
thermo-20y-qc,edgeIntensities,14431.076171875
thermo-20y-qc,edgeIntensities,14466.439453125
thermo-20y-qc,edgeIntensities,14470.6123046875
thermo-20y-qc,edgeIntensities,14531.2373046875
thermo-20y-qc,edgeIntensities,14546.677734375
thermo-20y-qc,edgeIntensities,14547.498046875
thermo-20y-qc,edgeIntensities,14582.0107421875
thermo-20y-qc,edgeIntensities,14681.7265625
thermo-20y-qc,edgeIntensities,14709.4658203125
thermo-20y-qc,edgeIntensities,14721.3330078125
thermo-20y-qc,edgeIntensities,14723.916015625
thermo-20y-qc,edgeIntensities,14780.9560546875
thermo-20y-qc,edgeIntensities,14810.9306640625
thermo-20y-qc,edgeIntensities,14830.8349609375
thermo-20y-qc,edgeIntensities,14965.66015625
thermo-20y-qc,edgeIntensities,15000.49609375
thermo-20y-qc,edgeIntensities,15145.8046875
thermo-20y-qc,edgeIntensities,15180.845703125
thermo-20y-qc,edgeIntensities,15204.3310546875
thermo-20y-qc,edgeIntensities,15234.005859375
thermo-20y-qc,edgeIntensities,15253.99609375
thermo-20y-qc,edgeIntensities,15279.3603515625
thermo-20y-qc,edgeIntensities,15367.9296875
thermo-20y-qc,edgeIntensities,15374.634765625
thermo-20y-qc,edgeIntensities,15380.6552734375
thermo-20y-qc,edgeIntensities,15408.04296875
thermo-20y-qc,edgeIntensities,15464.6640625
thermo-20y-qc,edgeIntensities,15491.6689453125
thermo-20y-qc,edgeIntensities,15492.609375
thermo-20y-qc,edgeIntensities,15545.7998046875
thermo-20y-qc,edgeIntensities,15549.896484375
thermo-20y-qc,edgeIntensities,15642.5498046875
thermo-20y-qc,edgeIntensities,15670.2060546875
thermo-20y-qc,edgeIntensities,15674.4658203125
thermo-20y-qc,edgeIntensities,15685.8603515625
thermo-20y-qc,edgeIntensities,15746.82421875
thermo-20y-qc,edgeIntensities,15835.3447265625
thermo-20y-qc,edgeIntensities,15879.4775390625
