dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Origin,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
thermo-20y-qc,42,47,42,70.9459513,GAUSSIAN,Evolution,true,0.01729187648743391,0.03802659879563827,3.0,3.0,6.0,165847.1637664251,0.8100810724391962,2.2049579033356785,0.005,15.0,3451.5625,Evolution,8430,25.3,14.9,2.544,30976,717378.1875,false,221007.5390625
thermo-20y-qc,42,48,43,72.3440787,GAUSSIAN,Evolution,true,0.02060151230365649,0.01683259318472617,3.0195132163351395,3.0,4.0,1035988.2866427376,0.9486182050156893,1.6886468750281196,0.005,15.0,3184.645371098872,Evolution,4350,15.8,9.7,1.371,19065,2474938.125,false,1189749.0
thermo-20y-qc,42,49,44,75.3567465,GAUSSIAN,Evolution,true,0.01729187648743391,0.03802659879563827,3.0,2.0,6.0,37804.884765625,0.97,1.9998760701093992,0.003,7.0,3139.1126756146514,Evolution,9177,27.4,18.6,2.973,31888,483567.90625,false,71014.8671875
thermo-20y-qc,42,50,45,76.706747,GAUSSIAN,Evolution,true,0.07637214960293222,0.04546300856394464,7.372930438164568,2.0,6.0,237626.23831407606,0.97,2.0305041571884885,0.003,7.0,1773.0846394984326,Evolution,4525,19.5,15.5,1.327,17864,1337908.0,false,353461.203125
thermo-20y-qc,42,51,46,78.258613,GAUSSIAN,Evolution,true,0.027765481861850638,0.04603073274948684,6.872369127534757,4.0,3.0,334667.60150138143,0.97,1.780991958355724,0.008,15.0,2139.812060658716,Evolution,6420,20.3,20.8,1.522,25322,1277650.8125,false,440539.96875
thermo-20y-qc,42,52,47,80.7794265,GAUSSIAN,Evolution,true,0.02330840213219885,0.015258731015054067,3.103580790973426,3.0,3.0,377136.6070051315,0.915067331305756,1.5,0.005,15.0,4542.374350003594,Evolution,10738,24.2,19.9,2.452,41731,913887.59375,false,435507.25
thermo-20y-qc,42,53,48,81.5684071,GAUSSIAN,Evolution,true,0.03333659402380141,0.0516489195579371,6.009397847111248,1.0,6.0,1332030.2815142209,0.8187829490219463,1.5,0.001,5.0,1506.4986655883542,Evolution,2819,15.2,9.0,0.773,12365,3381683.0,false,1557520.0625
thermo-20y-qc,42,54,49,82.9458896,GAUSSIAN,Evolution,true,0.02157636002818026,0.07403649549806161,3.6628274950305846,2.0,4.0,956848.9010252446,0.7086635828709362,1.9109676780492442,0.003,7.0,2801.7081416386663,Evolution,4471,16.6,10.6,1.349,19345,2303598.25,false,1104719.125
thermo-20y-qc,42,55,50,84.4502052,GAUSSIAN,Evolution,true,0.029927673764644013,0.05879221657220782,3.5038694580632668,2.0,3.0,886121.834432811,0.6708704903821182,1.637841740186916,0.003,7.0,3480.2668294849022,Evolution,5226,17.6,12.0,1.469,22520,2007916.4375,false,1012718.5625
thermo-20y-qc,42,56,50,84.4503254,GAUSSIAN,Evolution,true,0.0415460504031595,0.05647870146424718,5.279557524084569,1.0,4.0,545304.8598045261,0.8265154310747097,1.5807030204417132,0.001,5.0,2246.3684342799697,Evolution,6985,20.2,18.8,0.0,27853,1375129.125,true,642560.0
thermo-20y-qc,42,57,51,85.6088614,GAUSSIAN,Evolution,true,0.02157636002818026,0.05833036745794067,3.6628274950305846,2.0,6.0,956848.9010252446,0.7086635828709362,1.9109676780492442,0.003,7.0,2241.393250183419,Evolution,3435,15.3,9.0,1.137,14993,2552219.0,false,1132516.0625
thermo-20y-qc,42,58,52,88.1909617,GAUSSIAN,Evolution,true,0.02330840213219885,0.023724625988953203,3.103580790973426,3.0,3.0,377136.6070051315,0.915067331305756,1.5,0.005,15.0,4658.692763000239,Evolution,10543,22.8,19.8,2.509,41730,920816.1875,false,436441.890625
thermo-20y-qc,42,59,53,90.8300561,GAUSSIAN,Evolution,true,0.02330840213219885,0.015258731015054067,3.0,3.0,3.0,377136.6070051315,0.915067331305756,1.5,0.005,15.0,4731.679448400695,Evolution,10783,24.0,19.5,2.563,41987,911063.0,false,435733.671875
thermo-20y-qc,42,60,54,93.4532126,GAUSSIAN,Evolution,true,0.03395144403264936,0.015258731015054067,3.0,3.0,3.0,369336.25315625797,0.915067331305756,1.5,0.005,15.0,5066.511724005381,Evolution,10559,23.0,19.6,2.554,41624,901297.6875,false,427014.015625
thermo-20y-qc,42,61,54,93.4533356,GAUSSIAN,Evolution,true,0.04694007967642122,0.07033429792769624,6.566551486401897,2.0,7.0,482078.5097067614,0.8544672467102411,1.681077241704884,0.003,7.0,1873.8216860937923,Evolution,4459,19.1,14.3,0.0,18445,1627241.5,true,601225.03125
thermo-20y-qc,42,62,55,96.1556634,GAUSSIAN,Evolution,true,0.023249109805244778,0.010955104540930318,3.0,3.0,3.0,369336.25315625797,0.915067331305756,1.5,0.005,15.0,4695.601773032968,Evolution,11058,24.9,19.8,2.624,42526,888566.65625,false,426501.046875
thermo-20y-qc,42,63,56,97.5423323,GAUSSIAN,Evolution,true,0.02157636002818026,0.04616962421516443,3.6628274950305846,2.0,4.0,956848.9010252446,0.7086635828709362,1.9109676780492442,0.003,7.0,2901.2031693594176,Evolution,4513,17.2,10.6,1.357,19373,2280526.25,false,1099403.0625
thermo-20y-qc,42,64,57,100.1784657,GAUSSIAN,Evolution,true,0.02330840213219885,0.008115013294432608,3.0,3.0,3.0,377136.6070051315,0.915067331305756,1.5,0.005,15.0,4460.834742633923,Evolution,11128,26.4,19.7,2.553,41983,903129.3125,false,434171.171875
thermo-20y-qc,42,65,58,101.6264041,GAUSSIAN,Evolution,true,0.07102098248922993,0.052214716773379174,7.392443654499708,2.0,6.0,237626.23831407606,0.97,2.0305041571884885,0.003,7.0,1768.5576353578813,Evolution,4521,19.2,15.4,1.421,17897,1337908.0,false,352667.46875
thermo-20y-qc,42,66,58,101.6265656,GAUSSIAN,Evolution,true,0.02157636002818026,0.05833036745794067,3.6628274950305846,2.0,6.0,956848.9010252446,0.7086635828709362,1.9109676780492442,0.003,7.0,2241.393250183419,Evolution,3435,15.3,9.0,0.0,14993,2552219.0,true,1132516.0625
thermo-20y-qc,42,67,59,102.8682197,GAUSSIAN,Evolution,true,0.04694007967642122,0.07033429792769624,6.451171381290605,2.0,7.0,482078.5097067614,0.8544672467102411,1.681077241704884,0.003,7.0,1877.1311776792472,Evolution,4469,19.1,14.3,1.215,18494,1622401.5,false,601049.5
thermo-20y-qc,42,68,60,104.3369605,GAUSSIAN,Evolution,true,0.01729187648743391,0.03802659879563827,3.0,2.0,8.0,482065.45749843563,0.8100810724391962,2.2049579033356785,0.003,7.0,1820.2322543601522,Evolution,3487,21.1,10.3,1.448,13933,1665659.625,false,607910.40625
thermo-20y-qc,42,69,60,104.3370847,GAUSSIAN,Evolution,true,0.029927673764644013,0.05879221657220782,3.5038694580632668,2.0,3.0,916255.7746182769,0.6708704903821182,1.637841740186916,0.003,7.0,3458.249387421726,Evolution,5094,17.2,11.6,0.0,22038,2077867.9375,true,1036456.9375
thermo-20y-qc,42,70,61,105.8984579,GAUSSIAN,Evolution,true,0.036194883289457205,0.05647870146424718,5.279557524084569,1.0,4.0,545304.8598045261,0.8268017543570524,1.5807030204417132,0.001,5.0,2322.0307145396373,Evolution,7045,20.2,18.7,1.518,28130,1374323.375,false,642104.59375
thermo-20y-qc,42,71,61,105.8985705,GAUSSIAN,Evolution,true,0.01729187648743391,0.01683259318472617,3.0,3.0,4.0,1035988.2866427376,0.9486182050156893,1.6886468750281196,0.005,15.0,3159.2852802514403,Evolution,4373,16.0,9.6,0.0,19090,2468074.75,true,1187881.6875
